time,susceptible,exposed,infected,recovered,asymptomatic,new_exposed,new_infected,new_recovered,new_asymptomatic,deaths
94,0.9555097333333332,0.010003420333333336,0.003344157666666667,0.025940534666666664,0.005060999333333333,0.0013335776666666664,0.0004510153333333333,0.0009229193333333334,0.0006765216666666668,0.00014112733333333333
95,0.9541475000000003,0.010213999666666666,0.0034236689999999994,0.026887168,0.005181398333333334,0.0013623813333333336,0.00046072033333333345,0.0009466443333333333,0.0006910813333333332,0.00014614333333333332
96,0.9527621,0.010423300000000003,0.0035034709999999998,0.027857652,0.005302235333333333,0.0013857859999999997,0.0004705960000000001,0.0009704763333333332,0.0007058923333333332,0.0001512756666666666
97,0.9513478999999999,0.010636248666666666,0.003583725,0.02885181333333333,0.005423759666666667,0.0014143629999999999,0.00048056400000000006,0.00099415,0.0007208466666666666,0.00015652933333333338
98,0.9499070333333334,0.010850666333333333,0.0036643796666666665,0.029870141333333346,0.0055458880000000006,0.001441164666666667,0.0004907006666666667,0.001018345333333333,0.0007360499999999999,0.00016190233333333336
99,0.9484376333333331,0.011066811333333338,0.0037460506666666667,0.03091254333333333,0.005669533333333335,0.001469619,0.0005013873333333333,0.001042403333333333,0.0007520813333333333,0.00016739533333333335
100,0.9469394999999998,0.011286838333333332,0.003828025333333334,0.03197889600000001,0.005793644666666666,0.0014983523333333335,0.0005113303333333334,0.0010663683333333334,0.0007669956666666666,0.00017301266666666675
101,0.9454162666666669,0.011504807,0.003911311666666668,0.03306908,0.005919745,0.0015235560000000003,0.0005222353333333332,0.0010901933333333333,0.0007833523333333331,0.00017875433333333336
102,0.9438639999999999,0.011724199333333333,0.003995528333333334,0.034184370000000006,0.006047266666666666,0.0015525543333333332,0.0005332643333333334,0.0011152866666666664,0.0007998983333333332,0.000184621
103,0.9422825333333333,0.011948795333333335,0.004079134666666667,0.03532508699999999,0.006173858666666668,0.0015817486666666665,0.0005428596666666667,0.0011406713333333336,0.0008142883333333334,0.00019061233333333332
104,0.9406789666666665,0.012168996333333333,0.004163284,0.03649077533333334,0.006301243666666667,0.001603861666666667,0.0005534653333333333,0.0011657393333333332,0.0008301969999999999,0.000196728
105,0.9390468333333335,0.012390539333333334,0.004248221333333333,0.037681592666666666,0.006429849666666667,0.0016324213333333336,0.0005643516666666667,0.0011907933333333333,0.0008465293333333334,0.000202973
106,0.9373881333333333,0.012615132,0.004332642,0.03889715266666668,0.006557693666666668,0.0016590513333333333,0.000573783666666667,0.001215534,0.0008606760000000001,0.00020934266666666667
107,0.9357010666666669,0.012840263666666664,0.004418121666666667,0.04013757833333334,0.006687122666666667,0.0016873133333333338,0.000584873,0.0012404653333333339,0.0008773093333333333,0.0002158416666666667
108,0.9339856333333335,0.013066316000000001,0.00450446,0.04140334133333334,0.006817855666666666,0.0017158256666666666,0.0005959073333333332,0.0012657590000000002,0.0008938616666666667,0.00022246900000000004
109,0.9322414333333334,0.013293494999999999,0.004591550333333333,0.04269465000000001,0.006949722,0.0017445120000000001,0.0006069319999999999,0.0012913043333333337,0.0009103973333333332,0.00022922266666666662
110,0.9304683666666664,0.013523631333333331,0.004678577666666667,0.044011819000000015,0.007081521666666666,0.0017733153333333335,0.0006172716666666665,0.0013171473333333332,0.0009259073333333334,0.00023611066666666668
111,0.9286692333333332,0.013751959000000001,0.0047661633333333335,0.04535536433333333,0.007214133999999998,0.0017994289999999997,0.0006284406666666666,0.0013435546666666666,0.0009426616666666669,0.00024312766666666666
112,0.926843933333333,0.013979044000000003,0.004854409333333334,0.04672461799999999,0.007347749333333333,0.0018257256666666668,0.0006394546666666668,0.0013692870000000005,0.0009591816666666666,0.0002502746666666667
113,0.9249935,0.01420289933333333,0.004943139666666666,0.048120787000000005,0.007482097000000001,0.0018506963333333334,0.000650738,0.0013961330000000004,0.0009761073333333331,0.000257556
114,0.9231175,0.014424240999999999,0.0050322406666666675,0.049544035,0.007617003000000001,0.0018763089999999998,0.000661987,0.0014232030000000003,0.0009929806666666668,0.00026496999999999995
115,0.9212176,0.014643052666666666,0.005121644666666666,0.050992830999999995,0.007752372666666668,0.0019003193333333335,0.0006726033333333334,0.001448832666666667,0.0010089063333333333,0.0002725153333333333
116,0.9192966333333334,0.014855366666666668,0.005211290333333333,0.052468429,0.007888126333333335,0.0019213346666666668,0.0006836083333333331,0.0014755719999999999,0.0010254123333333337,0.0002802000000000001
117,0.9173479333333334,0.015068210999999998,0.005300944333333334,0.053971030333333316,0.008023871,0.0019490910000000005,0.0006944989999999999,0.0015026563333333338,0.001041749,0.0002880179999999999
118,0.9153748333333334,0.01528114,0.005390021999999998,0.05549928133333336,0.008158789000000001,0.0019734746666666666,0.0007042156666666669,0.0015282203333333334,0.001056324,0.000295969
119,0.9133746333333334,0.015495050333333333,0.005478617666666668,0.05705468566666667,0.008292956333333334,0.0020005496666666667,0.0007146576666666665,0.0015554046666666668,0.0010719869999999997,0.0003040526666666666
120,0.9113558333333335,0.015702210333333334,0.005566493666666667,0.058637086666666664,0.008426069333333334,0.0020192000000000005,0.0007248193333333332,0.001582451333333333,0.001087228,0.00031227133333333335
121,0.9093137666666667,0.015906535666666662,0.0056540179999999985,0.06024646766666666,0.008558632666666668,0.002042529,0.0007352783333333334,0.0016093586666666672,0.0011029163333333334,0.0003206193333333334
122,0.9072482999999999,0.016107934666666667,0.005741515333333334,0.06188189966666668,0.00869116,0.002065805,0.0007457636666666668,0.0016355003333333332,0.0011186466666666666,0.0003290993333333334
123,0.9051576666666666,0.016308799000000002,0.005828471333333333,0.06354446300000001,0.008822859666666667,0.0020910453333333333,0.0007560683333333334,0.0016624873333333334,0.0011341023333333333,0.00033771166666666657
124,0.9030422,0.016509163000000004,0.0059148133333333346,0.06523369766666667,0.008953636999999999,0.002115876,0.0007662073333333334,0.0016892313333333334,0.0011493116666666664,0.0003464526666666667
125,0.9009023666666668,0.016709579666666665,0.006000072666666667,0.06694982433333334,0.009082788000000001,0.002140265666666667,0.0007759369999999997,0.0017161336666666669,0.0011639053333333334,0.00035532533333333335
126,0.8987387666666666,0.016909191000000004,0.006084448000000001,0.06869264266666668,0.009210591333333332,0.002164038666666667,0.0007857733333333333,0.0017428196666666666,0.0011786586666666665,0.0003643216666666667
127,0.8965587,0.01710095533333333,0.006168167333333333,0.07046130333333335,0.009337409666666666,0.0021805529999999996,0.0007955159999999999,0.0017686870000000001,0.0011932743333333334,0.00037345133333333333
128,0.8943578666666666,0.017288753333333334,0.006251258666666666,0.07225617000000001,0.009463244333333332,0.0022012929999999996,0.0008053933333333332,0.001794848666666666,0.0012080903333333336,0.0003827036666666667
129,0.8921372333333334,0.017472568333333334,0.006333466666666667,0.07407693633333333,0.009587764666666665,0.0022211493333333335,0.0008149350000000002,0.001820775,0.0012224036666666665,0.0003920820000000001
130,0.8898949000000003,0.017655949,0.006414612333333333,0.07592225833333331,0.009710678333333334,0.0022427403333333336,0.0008237446666666666,0.001845332666666667,0.001235616333333333,0.0004015840000000001
131,0.8876316666666667,0.017836619666666664,0.006495152666666667,0.07779276566666665,0.009832678666666669,0.0022637503333333333,0.0008332313333333333,0.0018704490000000002,0.0012498466666666665,0.00041120800000000004
132,0.8853504000000001,0.01801309666666667,0.006574621666666667,0.079687884,0.00995307,0.002281742333333334,0.0008421060000000001,0.001895176333333333,0.00126316,0.0004209490000000001
133,0.8830490999999998,0.018186533666666664,0.006653339666666667,0.08160794133333334,0.010072321999999998,0.002301776,0.0008513373333333336,0.0019200193333333332,0.0012770049999999997,0.000430808
134,0.8807282000000002,0.018359517333333335,0.006730153333333334,0.08355269066666665,0.010188684333333331,0.0023213753333333332,0.0008593533333333334,0.0019447606666666666,0.0012890316666666665,0.000440782
135,0.8783978,0.018520612000000006,0.006805786666666667,0.08552170966666668,0.010303274666666666,0.0023308923333333334,0.0008679226666666666,0.001968974666666667,0.001301885,0.00045087666666666665
136,0.8760493999999999,0.018678479,0.006880323333333332,0.08751452066666664,0.01041620933333333,0.002348862666666666,0.0008763966666666666,0.001992817333333333,0.0013145963333333335,0.000461084
137,0.8736837000000002,0.018832355666666665,0.006954108666666668,0.08953051666666664,0.010527966000000001,0.002366279333333333,0.0008849626666666666,0.0020160353333333334,0.0013274436666666665,0.00047140266666666664
138,0.8713066333333332,0.01897718266666666,0.007026666333333333,0.09156975766666667,0.010637918,0.0023775333333333334,0.0008930806666666665,0.0020392333333333333,0.0013396206666666664,0.000481836
139,0.8689132666666669,0.019118778666666666,0.007097871333333334,0.09363185900000001,0.010745800666666666,0.002393864666666667,0.0009009076666666668,0.0020621176666666663,0.0013513596666666666,0.0004923753333333332
140,0.8665042999999998,0.019256979000000004,0.007167564666666667,0.09571676666666665,0.010851376666666664,0.0024095513333333334,0.0009085433333333333,0.002084906,0.001362815666666667,0.0005030213333333332
141,0.8640803999999999,0.01939407433333333,0.007234776333333332,0.09782386033333333,0.01095323266666667,0.002424542,0.0009149763333333333,0.002107081666666667,0.0013724626666666668,0.0005137733333333332
142,0.8616499666666666,0.019520192333333335,0.007300493,0.09995197733333333,0.011052826999999998,0.002430872666666667,0.0009219050000000002,0.002128055666666667,0.0013828573333333337,0.0005246253333333333
143,0.8592064333333332,0.01964245733333334,0.007364417333333334,0.10210135800000002,0.011149686666666665,0.0024440060000000003,0.0009286920000000001,0.0021494713333333336,0.0013930400000000001,0.0005355733333333334
